filename,status,attempts_used,n_prc,energy_budget,seed,num_tasks,total_utilization,utilization_band,period_ratio,mk_type,energy_alpha,mandatory_energy,full_energy,h_eff,total_jobs,n_vars,n_constrs,freq_levels,tasks
t0001.txt,ok,2,1,156.58,1001,4,0.8707,0.6-0.9,4,sparse,0.6902,71.0,195.0,768,255,1020,19285,0.5;0.75;1.0,"(1,4,1,4);(3,16,1,2);(8,64,2,4);(116,256,1,3)"
,failed,6,,,,,,,,,,,,,,,,,
t0003.txt,ok,1,16,514.48,1008,6,0.3416,0.2-0.4,3,dense,0.307,469.5,616.0,3888,1456,117936,7570405,0.5;0.625;0.75;0.875;1.0,"(1,4,3,4);(1,12,2,2);(5,36,2,3);(3,108,2,3);(1,324,2,2);(127,972,3,4)"
t0004.txt,ok,3,4,1296.27,1011,4,0.4355,0.4-0.6,9,sparse,0.4156,856.25,1915.0,11664,3280,68880,17021775,0.5;0.625;0.75;0.875;1.0,"(1,4,1,2);(5,36,1,4);(43,324,2,4);(394,2916,2,4)"
t0005.txt,ok,1,4,29.64,1012,5,0.4416,0.4-0.6,2,sparse,0.8416,15.75,32.25,192,93,1209,4978,0.5;0.75;1.0,"(1,4,1,2);(1,8,1,2);(1,16,1,2);(6,32,1,2);(3,64,1,3)"
t0006.txt,ok,5,8,162.01,1017,5,0.2706,0.2-0.4,3,sparse,0.9213,68.5,170.0,1296,484,19844,422640,0.5;0.625;0.75;0.875;1.0,"(1,4,1,3);(1,12,2,4);(1,36,2,4);(6,108,1,3);(35,324,2,4)"
t0007.txt,ok,1,8,1122.98,1018,4,0.6662,0.6-0.9,7,dense,0.2301,1103.25,1189.0,5488,1600,65600,7539815,0.5;0.625;0.75;0.875;1.0,"(1,4,3,4);(10,28,2,2);(24,196,4,4);(188,1372,4,4)"
t0008.txt,ok,5,8,431.28,1023,7,0.2844,0.2-0.4,2,mixed,0.6532,283.0,510.0,3072,1524,62484,2366926,0.5;0.625;0.75;0.875;1.0,"(1,4,2,4);(1,8,1,2);(1,16,1,2);(2,32,2,4);(4,64,1,3);(12,128,3,3);(2,256,2,4)"
t0009.txt,ok,1,1,2344.32,1024,7,0.5659,0.4-0.6,3,sparse,0.9619,989.75,2398.0,11664,4372,26232,4266088,0.5;0.625;0.75;0.875;1.0,"(1,4,2,4);(1,12,1,2);(1,36,1,2);(5,108,1,3);(51,324,2,4);(4,972,1,3);(739,2916,1,4)"
t0010.txt,ok,1,2,704.92,1025,4,0.2689,0.2-0.4,5,mixed,0.9091,314.25,744.0,6000,1872,13104,2257107,0.5;0.75;1.0,"(1,4,1,3);(2,20,2,3);(10,100,1,4);(23,500,3,4)"
t0011.txt,ok,2,1,5277.36,1027,4,0.8769,0.6-0.9,9,dense,0.9809,5257.5,5277.75,11664,3280,13120,4262817,0.5;0.75;1.0,"(3,4,4,4);(1,36,2,2);(9,324,3,4);(195,2916,4,4)"
t0012.txt,ok,4,16,1319.08,1031,4,0.4637,0.4-0.6,7,mixed,0.8244,800.5,1429.5,8232,2400,117600,33906572,0.5;0.75;1.0,"(1,4,2,3);(6,28,1,2);(10,196,1,2);(246,1372,1,2)"
t0013.txt,ok,1,8,1196.53,1032,5,0.4427,0.4-0.6,6,mixed,0.3266,685.5,2250.0,15552,4665,191265,60495714,0.5;0.625;0.75;0.875;1.0,"(1,4,1,3);(1,24,1,3);(36,144,1,4);(22,864,1,2);(60,5184,1,3)"
t0014.txt,ok,2,1,661.67,1034,4,0.2773,0.2-0.4,5,sparse,0.7234,336.5,786.0,6000,1872,7488,1131359,0.5;0.75;1.0,"(1,4,1,2);(3,20,1,3);(8,100,1,4);(22,500,2,3)"
t0015.txt,ok,2,8,847.38,1036,4,0.2149,0.2-0.4,9,dense,0.8658,824.0,851.0,11664,3280,82000,34033720,0.5;0.75;1.0,"(1,4,4,4);(1,36,2,3);(1,324,2,2);(32,2916,4,4)"
t0016.txt,ok,1,1,226.9,1037,7,0.6327,0.6-0.9,2,sparse,0.4557,121.75,352.5,1536,762,4572,76193,0.5;0.625;0.75;0.875;1.0,"(1,4,1,4);(1,8,1,4);(1,16,1,3);(1,32,1,3);(3,64,1,2);(25,128,1,3);(53,256,1,2)"
t0017.txt,ok,2,2,802.99,1039,4,0.2466,0.2-0.4,8,dense,0.8162,740.75,817.0,8192,2340,16380,4203363,0.5;0.75;1.0,"(1,4,2,2);(3,32,3,4);(12,256,3,4);(17,2048,3,4)"
t0018.txt,ok,2,8,1988.0,1041,7,0.4018,0.4-0.6,3,dense,0.6871,1988.0,1988.0,11664,4372,109300,34036990,0.5;0.75;1.0,"(1,4,2,2);(1,12,3,3);(1,36,2,2);(3,108,4,4);(1,324,3,3);(36,972,4,4);(737,2916,4,4)"
t0019.txt,ok,3,2,415.07,1044,7,0.7339,0.6-0.9,2,dense,0.7144,406.5,418.5,1536,762,8382,150115,0.5;0.625;0.75;0.875;1.0,"(1,4,3,3);(1,8,3,4);(2,16,3,3);(4,32,2,2);(25,64,3,3);(1,128,2,2);(17,256,2,2)"
t0020.txt,ok,2,8,326.15,1046,4,0.4728,0.4-0.6,5,dense,0.2843,313.5,358.0,2000,624,25584,1003865,0.5;0.625;0.75;0.875;1.0,"(1,4,4,4);(1,20,2,2);(6,100,2,2);(178,500,3,4)"
